,Transformation,AAM,Class
20,COOH-Ni-photoredox,[C:16]([C:18]([O:17][H:30])=[O:19])([H:27])([H:28])[H:29].[c:1]1([H:20])[c:2]([Br:3])[c:4]([H:21])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:24])[C:15]([H:25])([H:26])[O:14][C:11]([H:22])([H:23])[C:7]3=[O:10]>>[Br:3][C:18]([O:17][H:30])=[O:19].[c:1]1([H:20])[c:2]([C:16]([H:27])([H:28])[H:29])[c:4]([H:21])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:24])[C:15]([H:25])([H:26])[O:14][C:11]([H:22])([H:23])[C:7]3=[O:10],0
21,BF3K-Pd-Suzuki,[F:16][B-:20]([F:17])([F:18])[C:19]([H:29])([H:30])[H:31].[c:1]1([H:22])[c:2]([Br:3])[c:4]([H:23])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:26])[C:15]([H:27])([H:28])[O:14][C:11]([H:24])([H:25])[C:7]3=[O:10]>>[Br:3][B-:20]([F:16])([F:17])[F:18].[c:1]1([H:22])[c:2]([C:19]([H:29])([H:30])[H:31])[c:4]([H:23])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:26])[C:15]([H:27])([H:28])[O:14][C:11]([H:24])([H:25])[C:7]3=[O:10],0
22,MIDA-Pd-Suzuki,[N:16]1([C:24]([H:37])([H:38])[H:39])[C:17]([H:35])([H:36])[C:18](=[O:19])[O:20][B:21]([C:27]([H:42])([H:43])[H:44])[O:22][C:23](=[O:25])[C:26]1([H:40])[H:41].[c:1]1([H:28])[c:2]([Br:3])[c:4]([H:29])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:32])[C:15]([H:33])([H:34])[O:14][C:11]([H:30])([H:31])[C:7]3=[O:10]>>[Br:3][B:21]1[O:20][C:18](=[O:19])[C:17]([H:35])([H:36])[N:16]([C:24]([H:37])([H:38])[H:39])[C:26]([H:40])([H:41])[C:23](=[O:25])[O:22]1.[c:1]1([H:28])[c:2]([C:27]([H:42])([H:43])[H:44])[c:4]([H:29])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:32])[C:15]([H:33])([H:34])[O:14][C:11]([H:30])([H:31])[C:7]3=[O:10],0
23,Negishi-Pd,[Zn:16]([Cl:17])[C:18]([H:26])([H:27])[H:28].[c:1]1([H:19])[c:2]([Br:3])[c:4]([H:20])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:23])[C:15]([H:24])([H:25])[O:14][C:11]([H:21])([H:22])[C:7]3=[O:10]>>[Br:3][Zn:16][Cl:17].[c:1]1([H:19])[c:2]([C:18]([H:26])([H:27])[H:28])[c:4]([H:20])[n:5]2[c:6]3[c:8]([n:9][c:12]2[c:13]1[H:23])[C:15]([H:24])([H:25])[O:14][C:11]([H:21])([H:22])[C:7]3=[O:10],1
24,BF3K-Ni-photoredox,[C:13]([B-:14]([F:15])([F:16])[F:17])([C:18]([H:29])([H:30])[H:31])([C:19]([H:32])([H:33])[H:34])[H:28].[n:1]1[c:5]([H:22])[c:7]([H:24])[c:11]([H:27])[n:12]1-[c:10]1[c:2]([H:21])[c:3]([Br:4])[c:6]([H:23])[c:8]([H:25])[c:9]1[H:26]>>[Br:4][B-:14]([F:15])([F:16])[F:17].[n:1]1[c:5]([H:22])[c:7]([H:24])[c:11]([H:27])[n:12]1-[c:10]1[c:2]([H:21])[c:3]([C:13]([C:18]([H:29])([H:30])[H:31])([C:19]([H:32])([H:33])[H:34])[H:28])[c:6]([H:23])[c:8]([H:25])[c:9]1[H:26],0
25,CEC-Ni-photoredox,[C:13]([Br:14])([C:15]([H:25])([H:26])[H:27])([C:16]([H:28])([H:29])[H:30])[H:24].[n:1]1[c:5]([H:18])[c:7]([H:20])[c:11]([H:23])[n:12]1-[c:10]1[c:2]([H:17])[c:3]([Br:4])[c:6]([H:19])[c:8]([H:21])[c:9]1[H:22]>>[Br:4][Br:14].[n:1]1[c:5]([H:18])[c:7]([H:20])[c:11]([H:23])[n:12]1-[c:10]1[c:2]([H:17])[c:3]([C:13]([C:15]([H:25])([H:26])[H:27])([C:16]([H:28])([H:29])[H:30])[H:24])[c:6]([H:19])[c:8]([H:21])[c:9]1[H:22],0
26,COOH-Ni-photoredox,[C:13]([C:17]([C:15]([O:14][H:29])=[O:16])([C:18]([H:31])([H:32])[H:33])[H:30])([H:26])([H:27])[H:28].[n:1]1[c:5]([H:20])[c:7]([H:22])[c:11]([H:25])[n:12]1-[c:10]1[c:2]([H:19])[c:3]([Br:4])[c:6]([H:21])[c:8]([H:23])[c:9]1[H:24]>>[Br:4][C:15]([O:14][H:29])=[O:16].[n:1]1[c:5]([H:20])[c:7]([H:22])[c:11]([H:25])[n:12]1-[c:10]1[c:2]([H:19])[c:3]([C:17]([C:13]([H:26])([H:27])[H:28])([C:18]([H:31])([H:32])[H:33])[H:30])[c:6]([H:21])[c:8]([H:23])[c:9]1[H:24],0
27,BF3K-Pd-Suzuki,[C:13]([B-:14]([F:15])([F:16])[F:17])([C:18]([H:29])([H:30])[H:31])([C:19]([H:32])([H:33])[H:34])[H:28].[n:1]1[c:5]([H:22])[c:7]([H:24])[c:11]([H:27])[n:12]1-[c:10]1[c:2]([H:21])[c:3]([Br:4])[c:6]([H:23])[c:8]([H:25])[c:9]1[H:26]>>[Br:4][B-:14]([F:15])([F:16])[F:17].[n:1]1[c:5]([H:22])[c:7]([H:24])[c:11]([H:27])[n:12]1-[c:10]1[c:2]([H:21])[c:3]([C:13]([C:18]([H:29])([H:30])[H:31])([C:19]([H:32])([H:33])[H:34])[H:28])[c:6]([H:23])[c:8]([H:25])[c:9]1[H:26],0
28,MIDA-Pd-Suzuki,[O:1]=[C:14]1[O:7][B:3]([C:2]([C:12]([H:35])([H:36])[H:37])([C:13]([H:38])([H:39])[H:40])[H:27])[O:4][C:5](=[O:6])[C:9]([H:31])([H:32])[N:10]([C:8]([H:28])([H:29])[H:30])[C:11]1([H:33])[H:34].[n:15]1[c:19]([H:42])[c:21]([H:44])[c:25]([H:47])[n:26]1-[c:24]1[c:16]([H:41])[c:17]([Br:18])[c:20]([H:43])[c:22]([H:45])[c:23]1[H:46]>>[C:2]([C:12]([H:35])([H:36])[H:37])([C:13]([H:38])([H:39])[H:40])([c:17]1[c:16]([H:41])[c:24](-[n:26]2[n:15][c:19]([H:42])[c:21]([H:44])[c:25]2[H:47])[c:23]([H:46])[c:22]([H:45])[c:20]1[H:43])[H:27].[O:1]=[C:14]1[O:7][B:3]([Br:18])[O:4][C:5](=[O:6])[C:9]([H:31])([H:32])[N:10]([C:8]([H:28])([H:29])[H:30])[C:11]1([H:33])[H:34],0
29,CEC-Ni-Weix,[C:13]([Br:14])([C:15]([H:25])([H:26])[H:27])([C:16]([H:28])([H:29])[H:30])[H:24].[n:1]1[c:5]([H:18])[c:7]([H:20])[c:11]([H:23])[n:12]1-[c:10]1[c:2]([H:17])[c:3]([Br:4])[c:6]([H:19])[c:8]([H:21])[c:9]1[H:22]>>[Br:4][Br:14].[n:1]1[c:5]([H:18])[c:7]([H:20])[c:11]([H:23])[n:12]1-[c:10]1[c:2]([H:17])[c:3]([C:13]([C:15]([H:25])([H:26])[H:27])([C:16]([H:28])([H:29])[H:30])[H:24])[c:6]([H:19])[c:8]([H:21])[c:9]1[H:22],0
