,Transformation,AAM,Class
286,CEC-Ni-photoredox,[C:1]1([Br:2])([H:29])[C:4]([H:33])([H:34])[N:5]([C:6](=[O:7])[O:8][C:10]([C:3]([H:30])([H:31])[H:32])([C:9]([H:35])([H:36])[H:37])[C:12]([H:40])([H:41])[H:42])[C:11]([H:38])([H:39])[C:13]1([H:43])[H:44].[c:14]1([H:45])[c:15]([Br:16])[c:17]([H:46])[n:18]2[c:19]3[c:21]([n:22][c:25]2[c:26]1[H:49])[C:28]([H:50])([H:51])[O:27][C:24]([H:47])([H:48])[C:20]3=[O:23]>>[Br:2][Br:16].[C:1]1([c:15]2[c:14]([H:45])[c:26]([H:49])[c:25]3[n:18]([c:17]2[H:46])[c:19]2[c:21]([n:22]3)[C:28]([H:50])([H:51])[O:27][C:24]([H:47])([H:48])[C:20]2=[O:23])([H:29])[C:4]([H:33])([H:34])[N:5]([C:6](=[O:7])[O:8][C:10]([C:3]([H:30])([H:31])[H:32])([C:9]([H:35])([H:36])[H:37])[C:12]([H:40])([H:41])[H:42])[C:11]([H:38])([H:39])[C:13]1([H:43])[H:44],0
287,COOH-Ni-photoredox,[O:1]([C:2](=[O:3])[C:4]1([H:32])[C:6]([H:36])([H:37])[N:7]([C:8](=[O:9])[O:11][C:13]([C:5]([H:33])([H:34])[H:35])([C:10]([H:38])([H:39])[H:40])[C:15]([H:45])([H:46])[H:47])[C:12]([H:41])([H:42])[C:14]1([H:43])[H:44])[H:31].[c:16]1([H:48])[c:17]([Br:18])[c:19]([H:49])[n:20]2[c:21]3[c:23]([n:24][c:27]2[c:28]1[H:52])[C:30]([H:53])([H:54])[O:29][C:26]([H:50])([H:51])[C:22]3=[O:25]>>[C:4]1([c:17]2[c:16]([H:48])[c:28]([H:52])[c:27]3[n:20]([c:19]2[H:49])[c:21]2[c:23]([n:24]3)[C:30]([H:53])([H:54])[O:29][C:26]([H:50])([H:51])[C:22]2=[O:25])([H:32])[C:6]([H:36])([H:37])[N:7]([C:8](=[O:9])[O:11][C:13]([C:5]([H:33])([H:34])[H:35])([C:10]([H:38])([H:39])[H:40])[C:15]([H:45])([H:46])[H:47])[C:12]([H:41])([H:42])[C:14]1([H:43])[H:44].[O:1]([C:2](=[O:3])[Br:18])[H:31],0
288,CEC-Ni-Weix,[C:1]1([Br:2])([H:29])[C:4]([H:33])([H:34])[N:5]([C:6](=[O:7])[O:8][C:10]([C:3]([H:30])([H:31])[H:32])([C:9]([H:35])([H:36])[H:37])[C:12]([H:40])([H:41])[H:42])[C:11]([H:38])([H:39])[C:13]1([H:43])[H:44].[c:14]1([H:45])[c:15]([Br:16])[c:17]([H:46])[n:18]2[c:19]3[c:21]([n:22][c:25]2[c:26]1[H:49])[C:28]([H:50])([H:51])[O:27][C:24]([H:47])([H:48])[C:20]3=[O:23]>>[Br:2][Br:16].[C:1]1([c:15]2[c:14]([H:45])[c:26]([H:49])[c:25]3[n:18]([c:17]2[H:46])[c:19]2[c:21]([n:22]3)[C:28]([H:50])([H:51])[O:27][C:24]([H:47])([H:48])[C:20]2=[O:23])([H:29])[C:4]([H:33])([H:34])[N:5]([C:6](=[O:7])[O:8][C:10]([C:3]([H:30])([H:31])[H:32])([C:9]([H:35])([H:36])[H:37])[C:12]([H:40])([H:41])[H:42])[C:11]([H:38])([H:39])[C:13]1([H:43])[H:44],0
289,Negishi-Pd,[C:1]1([Zn:2][I:3])([H:30])[C:5]([H:34])([H:35])[N:6]([C:7](=[O:8])[O:9][C:11]([C:4]([H:31])([H:32])[H:33])([C:10]([H:36])([H:37])[H:38])[C:13]([H:41])([H:42])[H:43])[C:12]([H:39])([H:40])[C:14]1([H:44])[H:45].[c:15]1([H:46])[c:16]([Br:17])[c:18]([H:47])[n:19]2[c:20]3[c:22]([n:23][c:26]2[c:27]1[H:50])[C:29]([H:51])([H:52])[O:28][C:25]([H:48])([H:49])[C:21]3=[O:24]>>[C:1]1([c:16]2[c:15]([H:46])[c:27]([H:50])[c:26]3[n:19]([c:18]2[H:47])[c:20]2[c:22]([n:23]3)[C:29]([H:51])([H:52])[O:28][C:25]([H:48])([H:49])[C:21]2=[O:24])([H:30])[C:5]([H:34])([H:35])[N:6]([C:7](=[O:8])[O:9][C:11]([C:4]([H:31])([H:32])[H:33])([C:10]([H:36])([H:37])[H:38])[C:13]([H:41])([H:42])[H:43])[C:12]([H:39])([H:40])[C:14]1([H:44])[H:45].[Zn:2]([I:3])[Br:17],0
290,BF3K-Ni-photoredox,[C:1]([C:17]([C:8]([H:37])([H:38])[H:39])([C:12]([H:42])([H:43])[H:44])[O:15][C:11]([N:10]1[C:9]([H:40])([H:41])[C:7]([H:35])([H:36])[C:2]([B-:3]([F:4])([F:5])[F:6])([H:34])[C:16]([H:47])([H:48])[C:14]1([H:45])[H:46])=[O:13])([H:31])([H:32])[H:33].[n:18]1[c:22]([H:50])[c:24]([H:52])[c:28]([H:55])[n:29]1-[c:27]1[c:19]([H:49])[c:20]([Br:21])[c:23]([H:51])[c:25]([H:53])[c:26]1[H:54]>>[B-:3]([F:4])([F:5])([F:6])[Br:21].[C:1]([C:17]([C:8]([H:37])([H:38])[H:39])([C:12]([H:42])([H:43])[H:44])[O:15][C:11]([N:10]1[C:9]([H:40])([H:41])[C:7]([H:35])([H:36])[C:2]([c:20]2[c:19]([H:49])[c:27](-[n:29]3[n:18][c:22]([H:50])[c:24]([H:52])[c:28]3[H:55])[c:26]([H:54])[c:25]([H:53])[c:23]2[H:51])([H:34])[C:16]([H:47])([H:48])[C:14]1([H:45])[H:46])=[O:13])([H:31])([H:32])[H:33],0
291,CEC-Ni-photoredox,[C:1]([C:14]([C:5]([H:33])([H:34])[H:35])([C:9]([H:38])([H:39])[H:40])[O:12][C:8]([N:7]1[C:6]([H:36])([H:37])[C:4]([H:31])([H:32])[C:2]([Br:3])([H:30])[C:13]([H:43])([H:44])[C:11]1([H:41])[H:42])=[O:10])([H:27])([H:28])[H:29].[n:15]1[c:19]([H:46])[c:21]([H:48])[c:25]([H:51])[n:26]1-[c:24]1[c:16]([H:45])[c:17]([Br:18])[c:20]([H:47])[c:22]([H:49])[c:23]1[H:50]>>[Br:3][Br:18].[C:1]([C:14]([C:5]([H:33])([H:34])[H:35])([C:9]([H:38])([H:39])[H:40])[O:12][C:8]([N:7]1[C:6]([H:36])([H:37])[C:4]([H:31])([H:32])[C:2]([c:17]2[c:16]([H:45])[c:24](-[n:26]3[n:15][c:19]([H:46])[c:21]([H:48])[c:25]3[H:51])[c:23]([H:50])[c:22]([H:49])[c:20]2[H:47])([H:30])[C:13]([H:43])([H:44])[C:11]1([H:41])[H:42])=[O:10])([H:27])([H:28])[H:29],0
292,COOH-Ni-photoredox,[C:1]([C:5]([H:30])([H:31])[H:32])([C:7]([H:34])([H:35])[H:36])([C:11]([H:41])([H:42])[H:43])[O:16][C:12]([N:10]1[C:9]([H:39])([H:40])[C:8]([H:37])([H:38])[C:6]([C:3]([O:2][H:29])=[O:4])([H:33])[C:15]([H:46])([H:47])[C:13]1([H:44])[H:45])=[O:14].[n:17]1[c:21]([H:49])[c:23]([H:51])[c:27]([H:54])[n:28]1-[c:26]1[c:18]([H:48])[c:19]([Br:20])[c:22]([H:50])[c:24]([H:52])[c:25]1[H:53]>>[C:1]([C:5]([H:30])([H:31])[H:32])([C:7]([H:34])([H:35])[H:36])([C:11]([H:41])([H:42])[H:43])[O:16][C:12]([N:10]1[C:9]([H:39])([H:40])[C:8]([H:37])([H:38])[C:6]([c:3]2[c:18]([H:48])[c:26](-[n:28]3[n:17][c:21]([H:49])[c:23]([H:51])[c:27]3[H:54])[c:25]([H:53])[c:24]([H:52])[c:22]2[H:50])([H:33])[C:15]([H:46])([H:47])[C:13]1([H:44])[H:45])=[O:14].[O:2]([C:19](=[O:4])[Br:20])[H:29],0
293,BF3K-Pd-Suzuki,[C:1]([C:17]([C:8]([H:37])([H:38])[H:39])([C:12]([H:42])([H:43])[H:44])[O:15][C:11]([N:10]1[C:9]([H:40])([H:41])[C:7]([H:35])([H:36])[C:2]([B-:3]([F:4])([F:5])[F:6])([H:34])[C:16]([H:47])([H:48])[C:14]1([H:45])[H:46])=[O:13])([H:31])([H:32])[H:33].[n:18]1[c:22]([H:50])[c:24]([H:52])[c:28]([H:55])[n:29]1-[c:27]1[c:19]([H:49])[c:20]([Br:21])[c:23]([H:51])[c:25]([H:53])[c:26]1[H:54]>>[B-:3]([F:4])([F:5])([F:6])[Br:21].[C:1]([C:17]([C:8]([H:37])([H:38])[H:39])([C:12]([H:42])([H:43])[H:44])[O:15][C:11]([N:10]1[C:9]([H:40])([H:41])[C:7]([H:35])([H:36])[C:2]([c:20]2[c:19]([H:49])[c:27](-[n:29]3[n:18][c:22]([H:50])[c:24]([H:52])[c:28]3[H:55])[c:26]([H:54])[c:25]([H:53])[c:23]2[H:51])([H:34])[C:16]([H:47])([H:48])[C:14]1([H:45])[H:46])=[O:13])([H:31])([H:32])[H:33],0
294,MIDA-Pd-Suzuki,[C:1]1([B:2]2[O:3][C:4](=[O:5])[C:7]([H:38])([H:39])[N:10]([C:19]([H:48])([H:49])[H:50])[C:11]([H:40])([H:41])[C:15](=[O:17])[O:18]2)([H:37])[C:20]([H:51])([H:52])[C:24]([H:60])([H:61])[N:6]([C:8](=[O:9])[O:12][C:13]([C:14]([H:42])([H:43])[H:44])([C:16]([H:45])([H:46])[H:47])[C:21]([H:53])([H:54])[H:55])[C:22]([H:56])([H:57])[C:23]1([H:58])[H:59].[n:25]1[c:29]([H:63])[c:31]([H:65])[c:35]([H:68])[n:36]1-[c:34]1[c:26]([H:62])[c:27]([Br:28])[c:30]([H:64])[c:32]([H:66])[c:33]1[H:67]>>[B:2]1([Br:28])[O:3][C:4](=[O:5])[C:7]([H:38])([H:39])[N:10]([C:19]([H:48])([H:49])[H:50])[C:11]([H:40])([H:41])[C:15](=[O:17])[O:18]1.[C:1]1([c:27]2[c:26]([H:62])[c:34](-[n:36]3[n:25][c:29]([H:63])[c:31]([H:65])[c:35]3[H:68])[c:33]([H:67])[c:32]([H:66])[c:30]2[H:64])([H:37])[C:20]([H:51])([H:52])[C:24]([H:60])([H:61])[N:6]([C:8](=[O:9])[O:12][C:13]([C:14]([H:42])([H:43])[H:44])([C:16]([H:45])([H:46])[H:47])[C:21]([H:53])([H:54])[H:55])[C:22]([H:56])([H:57])[C:23]1([H:58])[H:59],0
295,CEC-Ni-Weix,[C:1]([C:14]([C:5]([H:33])([H:34])[H:35])([C:9]([H:38])([H:39])[H:40])[O:12][C:8]([N:7]1[C:6]([H:36])([H:37])[C:4]([H:31])([H:32])[C:2]([Br:3])([H:30])[C:13]([H:43])([H:44])[C:11]1([H:41])[H:42])=[O:10])([H:27])([H:28])[H:29].[n:15]1[c:19]([H:46])[c:21]([H:48])[c:25]([H:51])[n:26]1-[c:24]1[c:16]([H:45])[c:17]([Br:18])[c:20]([H:47])[c:22]([H:49])[c:23]1[H:50]>>[Br:3][Br:18].[C:1]([C:14]([C:5]([H:33])([H:34])[H:35])([C:9]([H:38])([H:39])[H:40])[O:12][C:8]([N:7]1[C:6]([H:36])([H:37])[C:4]([H:31])([H:32])[C:2]([c:17]2[c:16]([H:45])[c:24](-[n:26]3[n:15][c:19]([H:46])[c:21]([H:48])[c:25]3[H:51])[c:23]([H:50])[c:22]([H:49])[c:20]2[H:47])([H:30])[C:13]([H:43])([H:44])[C:11]1([H:41])[H:42])=[O:10])([H:27])([H:28])[H:29],0
296,Negishi-Pd,[C:1]([C:15]([C:6]([H:34])([H:35])[H:36])([C:10]([H:39])([H:40])[H:41])[O:13][C:9]([N:8]1[C:7]([H:37])([H:38])[C:5]([H:32])([H:33])[C:2]([Zn:3][I:4])([H:31])[C:14]([H:44])([H:45])[C:12]1([H:42])[H:43])=[O:11])([H:28])([H:29])[H:30].[n:16]1[c:20]([H:47])[c:22]([H:49])[c:26]([H:52])[n:27]1-[c:25]1[c:17]([H:46])[c:18]([Br:19])[c:21]([H:48])[c:23]([H:50])[c:24]1[H:51]>>[C:1]([C:15]([C:6]([H:34])([H:35])[H:36])([C:10]([H:39])([H:40])[H:41])[O:13][C:9]([N:8]1[C:7]([H:37])([H:38])[C:5]([H:32])([H:33])[C:2]([c:18]2[c:17]([H:46])[c:25](-[n:27]3[n:16][c:20]([H:47])[c:22]([H:49])[c:26]3[H:52])[c:24]([H:51])[c:23]([H:50])[c:21]2[H:48])([H:31])[C:14]([H:44])([H:45])[C:12]1([H:42])[H:43])=[O:11])([H:28])([H:29])[H:30].[Zn:3]([I:4])[Br:19],0
298,CEC-Ni-photoredox,[C:16]([C:29]([C:20]([H:53])([H:54])[H:55])([C:24]([H:58])([H:59])[H:60])[O:27][C:23]([N:22]1[C:21]([H:56])([H:57])[C:19]([H:51])([H:52])[C:17]([Br:18])([H:50])[C:28]([H:63])([H:64])[C:26]1([H:61])[H:62])=[O:25])([H:47])([H:48])[H:49].[C:1]1([H:30])([H:31])[C:7]([H:35])([H:36])[N:10]([C:14]([H:44])([H:45])[H:46])[C:11]([H:38])([H:39])[C:13]([H:42])([H:43])[N:15]1[C:12]([c:8]1[c:6]([H:34])[c:5]([H:33])[c:3]([Br:4])[c:2]([H:32])[c:9]1[H:37])([H:40])[H:41]>>[Br:4][Br:18].[C:1]1([H:30])([H:31])[C:7]([H:35])([H:36])[N:10]([C:14]([H:44])([H:45])[H:46])[C:11]([H:38])([H:39])[C:13]([H:42])([H:43])[N:15]1[C:12]([c:8]1[c:6]([H:34])[c:5]([H:33])[c:3]([C:17]2([H:50])[C:19]([H:51])([H:52])[C:21]([H:56])([H:57])[N:22]([C:23](=[O:25])[O:27][C:29]([C:16]([H:47])([H:48])[H:49])([C:20]([H:53])([H:54])[H:55])[C:24]([H:58])([H:59])[H:60])[C:26]([H:61])([H:62])[C:28]2([H:63])[H:64])[c:2]([H:32])[c:9]1[H:37])([H:40])[H:41],0
299,BF3K-Ni-photoredox,[C:18]1([H:52])([H:53])[C:24]([H:57])([H:58])[N:27]([C:31]([H:66])([H:67])[H:68])[C:28]([H:60])([H:61])[C:30]([H:64])([H:65])[N:32]1[C:29]([c:25]1[c:23]([H:56])[c:22]([H:55])[c:20]([Br:21])[c:19]([H:54])[c:26]1[H:59])([H:62])[H:63].[C:1]([C:17]([C:8]([H:40])([H:41])[H:42])([C:12]([H:45])([H:46])[H:47])[O:15][C:11]([N:10]1[C:9]([H:43])([H:44])[C:7]([H:38])([H:39])[C:2]([B-:3]([F:4])([F:5])[F:6])([H:37])[C:16]([H:50])([H:51])[C:14]1([H:48])[H:49])=[O:13])([H:34])([H:35])[H:36]>>[B-:3]([F:4])([F:5])([F:6])[Br:21].[C:1]([C:17]([C:8]([H:40])([H:41])[H:42])([C:12]([H:45])([H:46])[H:47])[O:15][C:11]([N:10]1[C:9]([H:43])([H:44])[C:7]([H:38])([H:39])[C:2]([c:20]2[c:19]([H:54])[c:26]([H:59])[c:25]([C:29]([N:32]3[C:18]([H:52])([H:53])[C:24]([H:57])([H:58])[N:27]([C:31]([H:66])([H:67])[H:68])[C:28]([H:60])([H:61])[C:30]3([H:64])[H:65])([H:62])[H:63])[c:23]([H:56])[c:22]2[H:55])([H:37])[C:16]([H:50])([H:51])[C:14]1([H:48])[H:49])=[O:13])([H:34])([H:35])[H:36],0
300,COOH-Ni-photoredox,[C:17]1([H:51])([H:52])[C:23]([H:56])([H:57])[N:26]([C:30]([H:65])([H:66])[H:67])[C:27]([H:59])([H:60])[C:29]([H:63])([H:64])[N:31]1[C:28]([c:24]1[c:22]([H:55])[c:21]([H:54])[c:19]([Br:20])[c:18]([H:53])[c:25]1[H:58])([H:61])[H:62].[C:1]([C:5]([H:33])([H:34])[H:35])([C:7]([H:37])([H:38])[H:39])([C:11]([H:44])([H:45])[H:46])[O:16][C:12]([N:10]1[C:9]([H:42])([H:43])[C:8]([H:40])([H:41])[C:6]([C:3]([O:2][H:32])=[O:4])([H:36])[C:15]([H:49])([H:50])[C:13]1([H:47])[H:48])=[O:14]>>[C:1]([C:5]([H:33])([H:34])[H:35])([C:7]([H:37])([H:38])[H:39])([C:11]([H:44])([H:45])[H:46])[O:16][C:12]([N:10]1[C:9]([H:42])([H:43])[C:8]([H:40])([H:41])[C:6]([c:19]2[c:18]([H:53])[c:25]([H:58])[c:24]([C:28]([N:31]3[C:17]([H:51])([H:52])[C:23]([H:56])([H:57])[N:26]([C:30]([H:65])([H:66])[H:67])[C:27]([H:59])([H:60])[C:29]3([H:63])[H:64])([H:61])[H:62])[c:22]([H:55])[c:21]2[H:54])([H:36])[C:15]([H:49])([H:50])[C:13]1([H:47])[H:48])=[O:14].[O:2]([C:3](=[O:4])[Br:20])[H:32],0
301,BF3K-Pd-Suzuki,[C:18]1([H:52])([H:53])[C:24]([H:57])([H:58])[N:27]([C:31]([H:66])([H:67])[H:68])[C:28]([H:60])([H:61])[C:30]([H:64])([H:65])[N:32]1[C:29]([c:25]1[c:23]([H:56])[c:22]([H:55])[c:20]([Br:21])[c:19]([H:54])[c:26]1[H:59])([H:62])[H:63].[C:1]([C:17]([C:8]([H:40])([H:41])[H:42])([C:12]([H:45])([H:46])[H:47])[O:15][C:11]([N:10]1[C:9]([H:43])([H:44])[C:7]([H:38])([H:39])[C:2]([B-:3]([F:4])([F:5])[F:6])([H:37])[C:16]([H:50])([H:51])[C:14]1([H:48])[H:49])=[O:13])([H:34])([H:35])[H:36]>>[B-:3]([F:4])([F:5])([F:6])[Br:21].[C:1]([C:17]([C:8]([H:40])([H:41])[H:42])([C:12]([H:45])([H:46])[H:47])[O:15][C:11]([N:10]1[C:9]([H:43])([H:44])[C:7]([H:38])([H:39])[C:2]([c:20]2[c:19]([H:54])[c:26]([H:59])[c:25]([C:29]([N:32]3[C:18]([H:52])([H:53])[C:24]([H:57])([H:58])[N:27]([C:31]([H:66])([H:67])[H:68])[C:28]([H:60])([H:61])[C:30]3([H:64])[H:65])([H:62])[H:63])[c:23]([H:56])[c:22]2[H:55])([H:37])[C:16]([H:50])([H:51])[C:14]1([H:48])[H:49])=[O:13])([H:34])([H:35])[H:36],0
302,MIDA-Pd-Suzuki,[C:1]1([B:2]2[O:3][C:4](=[O:5])[C:7]([H:41])([H:42])[N:10]([C:19]([H:51])([H:52])[H:53])[C:11]([H:43])([H:44])[C:15](=[O:17])[O:18]2)([H:40])[C:20]([H:54])([H:55])[C:24]([H:63])([H:64])[N:6]([C:8](=[O:9])[O:12][C:13]([C:14]([H:45])([H:46])[H:47])([C:16]([H:48])([H:49])[H:50])[C:21]([H:56])([H:57])[H:58])[C:22]([H:59])([H:60])[C:23]1([H:61])[H:62].[C:25]1([H:65])([H:66])[C:31]([H:70])([H:71])[N:34]([C:38]([H:79])([H:80])[H:81])[C:35]([H:73])([H:74])[C:37]([H:77])([H:78])[N:39]1[C:36]([c:32]1[c:30]([H:69])[c:29]([H:68])[c:27]([Br:28])[c:26]([H:67])[c:33]1[H:72])([H:75])[H:76]>>[B:2]1([Br:28])[O:3][C:4](=[O:5])[C:7]([H:41])([H:42])[N:10]([C:19]([H:51])([H:52])[H:53])[C:11]([H:43])([H:44])[C:15](=[O:17])[O:18]1.[C:1]1([c:27]2[c:26]([H:67])[c:33]([H:72])[c:32]([C:36]([N:39]3[C:25]([H:65])([H:66])[C:31]([H:70])([H:71])[N:34]([C:38]([H:79])([H:80])[H:81])[C:35]([H:73])([H:74])[C:37]3([H:77])[H:78])([H:75])[H:76])[c:30]([H:69])[c:29]2[H:68])([H:40])[C:20]([H:54])([H:55])[C:24]([H:63])([H:64])[N:6]([C:8](=[O:9])[O:12][C:13]([C:14]([H:45])([H:46])[H:47])([C:16]([H:48])([H:49])[H:50])[C:21]([H:56])([H:57])[H:58])[C:22]([H:59])([H:60])[C:23]1([H:61])[H:62],0
303,CEC-Ni-Weix,[C:16]([C:29]([C:20]([H:53])([H:54])[H:55])([C:24]([H:58])([H:59])[H:60])[O:27][C:23]([N:22]1[C:21]([H:56])([H:57])[C:19]([H:51])([H:52])[C:17]([Br:18])([H:50])[C:28]([H:63])([H:64])[C:26]1([H:61])[H:62])=[O:25])([H:47])([H:48])[H:49].[C:1]1([H:30])([H:31])[C:7]([H:35])([H:36])[N:10]([C:14]([H:44])([H:45])[H:46])[C:11]([H:38])([H:39])[C:13]([H:42])([H:43])[N:15]1[C:12]([c:8]1[c:6]([H:34])[c:5]([H:33])[c:3]([Br:4])[c:2]([H:32])[c:9]1[H:37])([H:40])[H:41]>>[Br:4][Br:18].[C:1]1([H:30])([H:31])[C:7]([H:35])([H:36])[N:10]([C:14]([H:44])([H:45])[H:46])[C:11]([H:38])([H:39])[C:13]([H:42])([H:43])[N:15]1[C:12]([c:8]1[c:6]([H:34])[c:5]([H:33])[c:3]([C:17]2([H:50])[C:19]([H:51])([H:52])[C:21]([H:56])([H:57])[N:22]([C:23](=[O:25])[O:27][C:29]([C:16]([H:47])([H:48])[H:49])([C:20]([H:53])([H:54])[H:55])[C:24]([H:58])([H:59])[H:60])[C:26]([H:61])([H:62])[C:28]2([H:63])[H:64])[c:2]([H:32])[c:9]1[H:37])([H:40])[H:41],0
304,Negishi-Pd,[C:16]1([H:49])([H:50])[C:22]([H:54])([H:55])[N:25]([C:29]([H:63])([H:64])[H:65])[C:26]([H:57])([H:58])[C:28]([H:61])([H:62])[N:30]1[C:27]([c:23]1[c:21]([H:53])[c:20]([H:52])[c:18]([Br:19])[c:17]([H:51])[c:24]1[H:56])([H:59])[H:60].[C:1]([C:15]([C:6]([H:37])([H:38])[H:39])([C:10]([H:42])([H:43])[H:44])[O:13][C:9]([N:8]1[C:7]([H:40])([H:41])[C:5]([H:35])([H:36])[C:2]([Zn:3][I:4])([H:34])[C:14]([H:47])([H:48])[C:12]1([H:45])[H:46])=[O:11])([H:31])([H:32])[H:33]>>[C:1]([C:15]([C:6]([H:37])([H:38])[H:39])([C:10]([H:42])([H:43])[H:44])[O:13][C:9]([N:8]1[C:7]([H:40])([H:41])[C:5]([H:35])([H:36])[C:2]([c:18]2[c:17]([H:51])[c:24]([H:56])[c:23]([C:27]([N:30]3[C:16]([H:49])([H:50])[C:22]([H:54])([H:55])[N:25]([C:29]([H:63])([H:64])[H:65])[C:26]([H:57])([H:58])[C:28]3([H:61])[H:62])([H:59])[H:60])[c:21]([H:53])[c:20]2[H:52])([H:34])[C:14]([H:47])([H:48])[C:12]1([H:45])[H:46])=[O:11])([H:31])([H:32])[H:33].[Zn:3]([I:4])[Br:19],0
307,BF3K-Ni-photoredox,[C:1]([C:6]([H:42])([H:43])[H:44])([C:13]([H:49])([H:50])[H:51])([C:16]([H:52])([H:53])[H:54])[O:22][C:18]([C:15]([N:14]1[C:12]([H:47])([H:48])[C:11]([C:21]([H:61])([H:62])[H:63])([H:46])[N:10]([c:4]2[n:3][c:2]([H:41])[c:8]([Br:9])[c:7]([H:45])[n:5]2)[C:20]([H:59])([H:60])[C:19]1([H:57])[H:58])=[O:17])([H:55])[H:56].[C:23]([C:39]([C:30]([H:70])([H:71])[H:72])([C:34]([H:75])([H:76])[H:77])[O:37][C:33]([N:32]1[C:31]([H:73])([H:74])[C:29]([H:68])([H:69])[C:24]([B-:25]([F:26])([F:27])[F:28])([H:67])[C:38]([H:80])([H:81])[C:36]1([H:78])[H:79])=[O:35])([H:64])([H:65])[H:66]>>[Br:9][B-:25]([F:26])([F:27])[F:28].[C:1]([C:6]([H:42])([H:43])[H:44])([C:13]([H:49])([H:50])[H:51])([C:16]([H:52])([H:53])[H:54])[O:22][C:18]([C:15]([N:14]1[C:12]([H:47])([H:48])[C:11]([C:21]([H:61])([H:62])[H:63])([H:46])[N:10]([c:4]2[n:3][c:2]([H:41])[c:8]([C:24]3([H:67])[C:29]([H:68])([H:69])[C:31]([H:73])([H:74])[N:32]([C:33](=[O:35])[O:37][C:39]([C:23]([H:64])([H:65])[H:66])([C:30]([H:70])([H:71])[H:72])[C:34]([H:75])([H:76])[H:77])[C:36]([H:78])([H:79])[C:38]3([H:80])[H:81])[c:7]([H:45])[n:5]2)[C:20]([H:59])([H:60])[C:19]1([H:57])[H:58])=[O:17])([H:55])[H:56],0
308,CEC-Ni-photoredox,[C:1]([C:6]([H:38])([H:39])[H:40])([C:13]([H:45])([H:46])[H:47])([C:16]([H:48])([H:49])[H:50])[O:22][C:18]([C:15]([N:14]1[C:12]([H:43])([H:44])[C:11]([C:21]([H:57])([H:58])[H:59])([H:42])[N:10]([c:4]2[n:3][c:2]([H:37])[c:8]([Br:9])[c:7]([H:41])[n:5]2)[C:20]([H:55])([H:56])[C:19]1([H:53])[H:54])=[O:17])([H:51])[H:52].[C:23]([C:36]([C:27]([H:66])([H:67])[H:68])([C:31]([H:71])([H:72])[H:73])[O:34][C:30]([N:29]1[C:28]([H:69])([H:70])[C:26]([H:64])([H:65])[C:24]([Br:25])([H:63])[C:35]([H:76])([H:77])[C:33]1([H:74])[H:75])=[O:32])([H:60])([H:61])[H:62]>>[Br:9][Br:25].[C:1]([C:6]([H:38])([H:39])[H:40])([C:13]([H:45])([H:46])[H:47])([C:16]([H:48])([H:49])[H:50])[O:22][C:18]([C:15]([N:14]1[C:12]([H:43])([H:44])[C:11]([C:21]([H:57])([H:58])[H:59])([H:42])[N:10]([c:4]2[n:3][c:2]([H:37])[c:8]([C:24]3([H:63])[C:26]([H:64])([H:65])[C:28]([H:69])([H:70])[N:29]([C:30](=[O:32])[O:34][C:36]([C:23]([H:60])([H:61])[H:62])([C:27]([H:66])([H:67])[H:68])[C:31]([H:71])([H:72])[H:73])[C:33]([H:74])([H:75])[C:35]3([H:76])[H:77])[c:7]([H:41])[n:5]2)[C:20]([H:55])([H:56])[C:19]1([H:53])[H:54])=[O:17])([H:51])[H:52],0
309,COOH-Ni-photoredox,[C:1]([C:6]([H:40])([H:41])[H:42])([C:13]([H:47])([H:48])[H:49])([C:16]([H:50])([H:51])[H:52])[O:22][C:18]([C:15]([N:14]1[C:12]([H:45])([H:46])[C:11]([C:21]([H:59])([H:60])[H:61])([H:44])[N:10]([c:4]2[n:3][c:2]([H:39])[c:8]([Br:9])[c:7]([H:43])[n:5]2)[C:20]([H:57])([H:58])[C:19]1([H:55])[H:56])=[O:17])([H:53])[H:54].[C:23]([C:27]([H:63])([H:64])[H:65])([C:29]([H:67])([H:68])[H:69])([C:33]([H:74])([H:75])[H:76])[O:38][C:34]([N:32]1[C:31]([H:72])([H:73])[C:30]([H:70])([H:71])[C:28]([C:25]([O:24][H:62])=[O:26])([H:66])[C:37]([H:79])([H:80])[C:35]1([H:77])[H:78])=[O:36]>>[Br:9][C:25]([O:24][H:62])=[O:26].[C:1]([C:6]([H:40])([H:41])[H:42])([C:13]([H:47])([H:48])[H:49])([C:16]([H:50])([H:51])[H:52])[O:22][C:18]([C:15]([N:14]1[C:12]([H:45])([H:46])[C:11]([C:21]([H:59])([H:60])[H:61])([H:44])[N:10]([c:4]2[n:3][c:2]([H:39])[c:8]([C:28]3([H:66])[C:30]([H:70])([H:71])[C:31]([H:72])([H:73])[N:32]([C:34](=[O:36])[O:38][C:23]([C:27]([H:63])([H:64])[H:65])([C:29]([H:67])([H:68])[H:69])[C:33]([H:74])([H:75])[H:76])[C:35]([H:77])([H:78])[C:37]3([H:79])[H:80])[c:7]([H:43])[n:5]2)[C:20]([H:57])([H:58])[C:19]1([H:55])[H:56])=[O:17])([H:53])[H:54],0
