,Substrate,AAM,E-1,E-2
22,C1=NC(=CC=C1C(=O)C)F,[At:11][H:19].[C:1](=[O:6])([C:8]([H:22])([H:23])[H:24])[c:10]1[c:2]([H:20])[n:3][c:4]([F:5])[c:7]([H:21])[c:9]1[H:25].[H+:18]>>[At+:11].[C:1]([O:6][H:18])([C:8]([H:22])([H:23])[H:24])([c:10]1[c:2]([H:20])[n:3][c:4]([F:5])[c:7]([H:21])[c:9]1[H:25])[H:19],0,1
23,C1=NC(=CC=C1C(=O)C)Cl,[At:11][H:19].[C:1](=[O:6])([C:8]([H:22])([H:23])[H:24])[c:10]1[c:2]([H:20])[n:3][c:4]([Cl:5])[c:7]([H:21])[c:9]1[H:25].[H+:18]>>[At+:11].[C:1]([O:6][H:18])([C:8]([H:22])([H:23])[H:24])([c:10]1[c:2]([H:20])[n:3][c:4]([Cl:5])[c:7]([H:21])[c:9]1[H:25])[H:19],0,0
24,C1=CC=C(C(=O)C)N=C1,[At:10][H:19].[H+:18].[c:1]1([H:20])[n:2][c:3]([C:4](=[O:5])[C:8]([H:23])([H:24])[H:25])[c:6]([H:21])[c:7]([H:22])[c:9]1[H:26]>>[At+:10].[c:1]1([H:20])[n:2][c:3]([C:4]([O:5][H:18])([C:8]([H:23])([H:24])[H:25])[H:19])[c:6]([H:21])[c:7]([H:22])[c:9]1[H:26],0,0
25,C1=CC=C(C(=O)C(F)(F)F)C=C1,[At:13][H:20].[H+:19].[c:1]1([H:21])[c:2]([C:3](=[O:4])[C:5]([F:6])([F:7])[F:8])[c:10]([H:23])[c:12]([H:25])[c:9]([H:22])[c:11]1[H:24]>>[At+:13].[c:1]1([H:21])[c:2]([C:3]([O:4][H:19])([C:5]([F:6])([F:7])[F:8])[H:20])[c:10]([H:23])[c:12]([H:25])[c:9]([H:22])[c:11]1[H:24],0,0
26,C1=CC=C(C(=O)CBr)C=C1,[At:11][H:20].[H+:19].[c:1]1([H:21])[c:2]([C:3](=[O:4])[C:6]([Br:8])([H:23])[H:24])[c:10]([H:27])[c:5]([H:22])[c:7]([H:25])[c:9]1[H:26]>>[At+:11].[c:1]1([H:21])[c:2]([C:3]([O:4][H:19])([C:6]([Br:8])([H:23])[H:24])[H:20])[c:10]([H:27])[c:5]([H:22])[c:7]([H:25])[c:9]1[H:26],0,1
27,C2=CC=C(C(=O)C1=CC=CC=C1)C=C2,[At:15][H:27].[H+:26].[c:1]1([H:28])[c:6]([C:4]([c:3]2[c:2]([H:29])[c:14]([H:37])[c:12]([H:35])[c:10]([H:33])[c:8]2[H:31])=[O:5])[c:7]([H:30])[c:9]([H:32])[c:11]([H:34])[c:13]1[H:36]>>[At+:15].[c:1]1([H:28])[c:6]([C:4]([c:3]2[c:2]([H:29])[c:14]([H:37])[c:12]([H:35])[c:10]([H:33])[c:8]2[H:31])([O:5][H:26])[H:27])[c:7]([H:30])[c:9]([H:32])[c:11]([H:34])[c:13]1[H:36],0,0
28,C1(=CC=C(C(=O)CCl)C=C1F)F,[At:13][H:20].[H+:19].[O:1]=[C:12]([C:7]([Cl:11])([H:22])[H:23])[c:10]1[c:2]([H:21])[c:3]([F:4])[c:5]([F:6])[c:8]([H:24])[c:9]1[H:25]>>[At+:13].[O:1]([C:12]([C:7]([Cl:11])([H:22])[H:23])([c:10]1[c:2]([H:21])[c:3]([F:4])[c:5]([F:6])[c:8]([H:24])[c:9]1[H:25])[H:20])[H:19],0,1
29,C12=CC=C(C(=O)C)C=C1C=CC=C2,[At:14][H:26].[H+:25].[c:1]12[c:6]([c:2]([H:27])[c:3]([C:4](=[O:5])[C:8]([H:29])([H:30])[H:31])[c:10]([H:33])[c:12]1[H:35])[c:7]([H:28])[c:9]([H:32])[c:11]([H:34])[c:13]2[H:36]>>[At+:14].[c:1]12[c:6]([c:2]([H:27])[c:3]([C:4]([O:5][H:25])([C:8]([H:29])([H:30])[H:31])[H:26])[c:10]([H:33])[c:12]1[H:35])[c:7]([H:28])[c:9]([H:32])[c:11]([H:34])[c:13]2[H:36],0,0
30,C1=CC=C(CC(C)=O)C=C1,[At:11][H:23].[H+:22].[c:1]1([H:24])[c:2]([C:3]([C:6](=[O:7])[C:8]([H:29])([H:30])[H:31])([H:25])[H:26])[c:4]([H:27])[c:5]([H:28])[c:9]([H:32])[c:10]1[H:33]>>[At+:11].[c:1]1([H:24])[c:2]([C:3]([C:6]([O:7][H:22])([C:8]([H:29])([H:30])[H:31])[H:23])([H:25])[H:26])[c:4]([H:27])[c:5]([H:28])[c:9]([H:32])[c:10]1[H:33],0,1
31,C1=CC=C(CCC(C)=O)C=C1,[At:12][H:26].[C:1]([c:3]1[c:2]([H:29])[c:11]([H:38])[c:8]([H:34])[c:6]([H:33])[c:4]1[H:30])([C:5]([C:7](=[O:9])[C:10]([H:35])([H:36])[H:37])([H:31])[H:32])([H:27])[H:28].[H+:25]>>[At+:12].[C:1]([c:3]1[c:2]([H:29])[c:11]([H:38])[c:8]([H:34])[c:6]([H:33])[c:4]1[H:30])([C:5]([C:7]([O:9][H:25])([C:10]([H:35])([H:36])[H:37])[H:26])([H:31])[H:32])([H:27])[H:28],0,1
