,Substrate,AAM,E-1,E-2,E-3,E-4,E-5,E-6,E-7
24,N#Cc1ccncc1,[C:1](#[N:4])[c:8]1[c:6]([H:21])[c:2]([H:19])[n:3][c:5]([H:20])[c:7]1[H:22].[O:10]([H:17])[H:18].[O:9]([H:16])[H:23]>>[C:1]([c:8]1[c:6]([H:21])[c:2]([H:19])[n:3][c:5]([H:20])[c:7]1[H:22])([O:9][H:23])=[O:10].[N:4]([H:16])([H:17])[H:18],0,0,0,1,0,1,1
25,N#Cc1cccc(c1)C#N,[O:11]([H:18])[H:25].[O:12]([H:19])[H:20].[c:1]1([H:21])[c:2]([C:3]#[N:4])[c:6]([H:22])[c:9]([H:23])[c:10]([H:24])[c:5]1[C:7]#[N:8]>>[N:8]([H:18])([H:19])[H:20].[c:1]1([H:21])[c:2]([C:3]#[N:4])[c:6]([H:22])[c:9]([H:23])[c:10]([H:24])[c:5]1[C:7]([O:11][H:25])=[O:12],0,0,0,0,0,0,0
26,N#CCc1ccccc1,[O:10]([H:20])[H:30].[O:11]([H:21])[H:22].[c:1]1([H:23])[c:2]([H:24])[c:3]([C:5]([C:7]#[N:8])([H:26])[H:27])[c:4]([H:25])[c:6]([H:28])[c:9]1[H:29]>>[N:8]([H:20])([H:21])[H:22].[c:1]1([H:23])[c:2]([H:24])[c:3]([C:5]([C:7]([O:10][H:30])=[O:11])([H:26])[H:27])[c:4]([H:25])[c:6]([H:28])[c:9]1[H:29],1,1,1,0,0,0,0
27,[O-][N+](=O)c1ccc(CC#N)cc1,[O:13]([H:22])[H:31].[O:14]([H:23])[H:24].[c:1]1([H:25])[c:2]([N+:7](=[O:8])[O-:9])[c:4]([H:26])[c:6]([H:27])[c:10]([C:12]([C:3]#[N:5])([H:29])[H:30])[c:11]1[H:28]>>[N:5]([H:22])([H:23])[H:24].[c:1]1([H:25])[c:2]([N+:7](=[O:8])[O-:9])[c:4]([H:26])[c:6]([H:27])[c:10]([C:12]([C:3]([O:13][H:31])=[O:14])([H:29])[H:30])[c:11]1[H:28],1,1,1,0,1,0,0
28,Clc1ccccc1CC#N,[O:11]([H:20])[H:29].[O:12]([H:21])[H:22].[c:1]1([H:23])[c:2]([Cl:3])[c:4]([C:5]([C:8]#[N:9])([H:24])[H:25])[c:6]([H:26])[c:7]([H:27])[c:10]1[H:28]>>[N:9]([H:20])([H:21])[H:22].[c:1]1([H:23])[c:2]([Cl:3])[c:4]([C:5]([C:8]([O:11][H:29])=[O:12])([H:24])[H:25])[c:6]([H:26])[c:7]([H:27])[c:10]1[H:28],1,1,1,0,0,0,0
29,[O-][N+](=O)c1ccccc1CC#N,[O:13]([H:22])[H:31].[O:14]([H:23])[H:24].[c:1]1([H:25])[c:2]([N+:7](=[O:9])[O-:10])[c:3]([C:12]([C:4]#[N:6])([H:29])[H:30])[c:5]([H:26])[c:8]([H:27])[c:11]1[H:28]>>[N:6]([H:22])([H:23])[H:24].[c:1]1([H:25])[c:2]([N+:7](=[O:9])[O-:10])[c:3]([C:12]([C:4]([O:13][H:31])=[O:14])([H:29])[H:30])[c:5]([H:26])[c:8]([H:27])[c:11]1[H:28],1,1,1,0,0,0,0
30,Clc1cccc(Cl)c1CC#N,[C:1]([c:5]1[c:3]([Cl:4])[c:2]([H:25])[c:11]([H:27])[c:8]([H:26])[c:6]1[Cl:7])([C:9]#[N:10])([H:23])[H:24].[O:12]([H:20])[H:28].[O:13]([H:21])[H:22]>>[C:1]([c:5]1[c:3]([Cl:4])[c:2]([H:25])[c:11]([H:27])[c:8]([H:26])[c:6]1[Cl:7])([C:9]([O:12][H:28])=[O:13])([H:23])[H:24].[N:10]([H:20])([H:21])[H:22],1,1,0,0,0,0,0
31,O=C(CC#N)c1ccccc1,[O:12]([H:22])[H:32].[O:13]([H:23])[H:24].[c:1]1([H:25])[c:2]([C:3](=[O:4])[C:6]([C:8]#[N:9])([H:27])[H:28])[c:11]([H:31])[c:5]([H:26])[c:7]([H:29])[c:10]1[H:30]>>[N:9]([H:22])([H:23])[H:24].[c:1]1([H:25])[c:2]([C:3](=[O:4])[C:6]([C:8]([O:12][H:32])=[O:13])([H:27])[H:28])[c:11]([H:31])[c:5]([H:26])[c:7]([H:29])[c:10]1[H:30],0,0,0,0,0,0,0
32,CC(C#N)c1ccccc1,[O:11]([H:23])[H:35].[O:12]([H:24])[H:25].[c:1]1([H:26])[c:2]([C:3]([C:5]#[N:7])([C:8]([H:30])([H:31])[H:32])[H:27])[c:4]([H:28])[c:6]([H:29])[c:9]([H:33])[c:10]1[H:34]>>[N:7]([H:23])([H:24])[H:25].[c:1]1([H:26])[c:2]([C:3]([C:5]([O:11][H:35])=[O:12])([C:8]([H:30])([H:31])[H:32])[H:27])[c:4]([H:28])[c:6]([H:29])[c:9]([H:33])[c:10]1[H:34],1,0,0,0,0,0,0
33,OC(C#N)c1ccccc1,[O:11]([H:21])[H:31].[O:12]([H:22])[H:23].[O:1]([C:3]([C:4]#[N:5])([c:6]1[c:8]([H:28])[c:10]([H:30])[c:2]([H:25])[c:7]([H:27])[c:9]1[H:29])[H:26])[H:24]>>[N:5]([H:21])([H:22])[H:23].[O:1]([C:3]([C:4]([O:11][H:31])=[O:12])([c:6]1[c:8]([H:28])[c:10]([H:30])[c:2]([H:25])[c:7]([H:27])[c:9]1[H:29])[H:26])[H:24],1,0,0,0,0,0,0
34,CC(C)CC1=CC=C(C=C1)C(C)C#N,[O:15]([H:35])[H:55].[O:16]([H:36])[H:37].[c:1]1([H:38])[c:2]([C:9]([C:10]#[N:11])([C:13]([H:51])([H:52])[H:53])[H:48])[c:4]([H:42])[c:5]([H:43])[c:7]([C:12]([C:14]([C:3]([H:39])([H:40])[H:41])([C:6]([H:44])([H:45])[H:46])[H:54])([H:49])[H:50])[c:8]1[H:47]>>[N:11]([H:35])([H:36])[H:37].[c:1]1([H:38])[c:2]([C:9]([C:10]([O:15][H:55])=[O:16])([C:13]([H:51])([H:52])[H:53])[H:48])[c:4]([H:42])[c:5]([H:43])[c:7]([C:12]([C:14]([C:3]([H:39])([H:40])[H:41])([C:6]([H:44])([H:45])[H:46])[H:54])([H:49])[H:50])[c:8]1[H:47],0,0,0,0,0,0,0
35,C1=CC=C(C=C1)C(C#N)C2=CC=CC=C2,[O:16]([H:30])[H:44].[O:17]([H:31])[H:32].[c:1]1([C:11]([c:3]2[c:2]([H:33])[c:10]([H:40])[c:9]([H:39])[c:7]([H:37])[c:5]2[H:35])([C:13]#[N:15])[H:41])[c:4]([H:34])[c:6]([H:36])[c:8]([H:38])[c:12]([H:42])[c:14]1[H:43]>>[N:15]([H:30])([H:31])[H:32].[c:1]1([C:11]([c:3]2[c:2]([H:33])[c:10]([H:40])[c:9]([H:39])[c:7]([H:37])[c:5]2[H:35])([C:13]([O:16][H:44])=[O:17])[H:41])[c:4]([H:34])[c:6]([H:36])[c:8]([H:38])[c:12]([H:42])[c:14]1[H:43],0,0,0,0,0,0,0
36,N#CCc1ccc2ccccc2c1,[N:1]#[C:13][C:10]([c:9]1[c:2]([H:29])[c:3]2[c:4]([c:5]([H:30])[c:8]([H:33])[c:11]([H:36])[c:12]2[H:37])[c:6]([H:31])[c:7]1[H:32])([H:34])[H:35].[O:14]([H:26])[H:38].[O:15]([H:27])[H:28]>>[N:1]([H:26])([H:27])[H:28].[c:2]1([H:29])[c:3]2[c:4]([c:5]([H:30])[c:8]([H:33])[c:11]([H:36])[c:12]2[H:37])[c:6]([H:31])[c:7]([H:32])[c:9]1[C:10]([C:13]([O:14][H:38])=[O:15])([H:34])[H:35],0,0,0,0,0,0,0
37,N#CCCc1ccccc1,[O:11]([H:23])[H:35].[O:12]([H:24])[H:25].[c:1]1([H:26])[c:2]([C:3]([C:6]([C:8]#[N:9])([H:31])[H:32])([H:27])[H:28])[c:4]([H:29])[c:5]([H:30])[c:7]([H:33])[c:10]1[H:34]>>[N:9]([H:23])([H:24])[H:25].[c:1]1([H:26])[c:2]([C:3]([C:6]([C:8]([O:11][H:35])=[O:12])([H:31])[H:32])([H:27])[H:28])[c:4]([H:29])[c:5]([H:30])[c:7]([H:33])[c:10]1[H:34],1,0,1,0,0,1,0
